File Index,Raw Input (ASR),Processed Output (AI)
1,"गर्दी चौराहे पर बैठे हैं, कहाँ से हैं भईया? यहाँ धूप है और आदमी चाहिए, इसलिए हम यहाँ चले आए थे।","Speaker 1: गर्दी चौराहे पर बैठे हैं, कहाँ से हैं भईया? यहाँ धूप है और आदमी चाहिए, इसलिए हम यहाँ चले आए थे।"
2,"हां या बताएं वह एमबी में कुछ लिखा है कि बाकी है? एमबी में पता नहीं। क्या? है दिख रहे हैं। क्या? बाकी है? वही तो पुछ ही लगा। है कि लिखा है कि नहीं। लिखा है कुछ जॉन बाकी है तो बता दे तो लिख दे ही। देख ले, कहाँ रह गई? दिल्ली से वहां आ रही है ऑफिस आई? आ रही है ऑफिस कहाँ है एक्सैक्ट? वह डाल रहे हैं। ग्रुप मतलब कि कहीं देखी लिखाई नहीं। भाई। तो त्रिदेव की बाकी में ही ना? हैं? त्रिदेवों की एमबी चकली बाकी में ही ना? अब हमको यह नहीं। मालूम आया वह जो उसका देखा अकाउंट बाकी है पर भाई अब यह ईडीएमबीआर वुम्बियर के अकाउंट बताया है। देख लिया है। ठीक है। क्यों? तो नहीं। लेकिन आएं? नहीं। जानकारी भाई हमें। ठीक है भाई। आज या कहीं ड्यूटी मां? नहीं। पता चलो। इसके बाद ही फोन लगा। रहे हैं। पेसेंट चालू हुई। बस एक मिनट रखो।","Speaker 1: क्या एमबी में कुछ लिखा है कि बाकी है?
Speaker 2: एमबी में पता नहीं, क्या है दिख रहे हैं?
Speaker 1: क्या बाकी है? वही तो पुछ ही लगा।
Speaker 2: हां, क्या लिखा है कि नहीं। लिखा है कुछ जो बाकी है तो बता दे तो लिख दे ही।
Speaker 1: देख ले, कहाँ रह गई? दिल्ली से वहां आ रही है ऑफिस आई?
Speaker 2: आ रही है ऑफिस, कहाँ है एक्सैक्ट? वह डाल रहे हैं।
Speaker 1: ग्रुप मतलब कि कहीं देखी लिखाई नहीं। भाई। तो त्रिदेव की बाकी में ही ना?
Speaker 2: हैं? त्रिदेवों की एमबी चकली बाकी में ही ना?
Speaker 1: अब हमको यह नहीं। मालूम आया वह जो उसका देखा अकाउंट बाकी है पर भाई अब यह ईडीएमबीआर वुम्बियर के अकाउंट बताया है।
Speaker 2: देख लिया है। ठीक है। क्यों?
Speaker 1: तो नहीं। लेकिन आएं?
Speaker 2: नहीं। जानकारी भाई हमें। ठीक है भाई।
Speaker 1: आज या कहीं ड्यूटी मां?
Speaker 2: नहीं। पता चलो। इसके बाद ही फोन लगा।
Speaker 1: रहे हैं। पेसेंट चालू हुई। बस एक मिनट रखो।"
3,"Speaker 1: क्या? हाल चाल रही है? Phone किए गए कल का रात में आओ. और जिस काम उसने अभी recorded. ठीक है वह हाल चाल से बढ़िया. हां वह है तो ठीक है है जवान. कहाँ है कहीं? ही? कहाँ कई? 89 हूं इनके ही. आई थी कुछ देर में. कहाँ कैसे जाओगे? 89 में कहीं से जाब कहीं से कनावजा कैसे जवाब. तुम्हें direct मिली कि आज ही pending हुआ? क्या? फिर चले. वहां नहीं। मिली उनका ही. ठीक. बताया जब चले तो? हां.","Speaker 1: क्या हाल है? कल रात को फोन किया था, और जिस काम की बात अभी रिकॉर्ड की है, वह हालचाल से बढ़िया है। वह जवान है तो ठीक है। कहां है वह? कहां से जाओगे? 89 में कहीं से जाना है क्या? तुम्हें डायरेक्ट मिली कि आज ही पेंडिंग हुआ? फिर चले। वहां नहीं मिली। उनकी ही मिली। ठीक। बताया जब चले तो?"
4,"Speaker 1: अभी नहीं। जा रहे हैं नई link.","Speaker 1: अभी नहीं। जा रहे हैं नई लिंक पर।"
5,"कहाँ गया। अजय ला के पचपन। पचपन? हां गार्ड रूम के आर५ में है घर तक क्लोज करेगी। हां। बताई कुछ काम रहा? काम है कौन सा दिन चल रहे हैं चलते हो कहीं। हैं? सोच रहे हैं चलते हो उनकी ८९ में उनकी। एक ही चला लंच के बाद चला क्यों? है पी। ठीक।","Speaker 1: कहाँ गया?
Speaker 2: अजय ला के पास गया है, पचपन में है।
Speaker 1: पचपन? हां, गार्ड रूम के आर-पास है और घर तक क्लोज करेगी।
Speaker 2: हां, बताई कुछ काम रहा?
Speaker 1: काम है कौन सा? दिन चल रहे हैं और चलते हो कहीं।
Speaker 2: हैं? सोच रहे हैं चलते हो उनकी ८९ में उनकी।
Speaker 1: एक ही चला लंच के बाद चला क्यों?
Speaker 2: है पी। ठीक।"
6,"Speaker 1: This call is now being recorded. Hello हां कहे कि phone नहीं। है रे बहुत काम है अपना कहाँ थे आना फिर? Aunty है कहाँ पर, भैया तेरे पास में कौन भैया? जी हम भगवान वाले में क्या? वहां कोठी थे? हां कोच्चि से नहीं। पहुंचे तो नहीं। आना साहब,, गांव बहुत हो भाई तो meeting कहाँ से है कहीं पर वो meeting कहाँ पर बैठ के attend करा ठीक है देखी मैंने कहा है mobile में battery नहीं। आया आज रात का light 10 ही होगी. हां. ठीक है.","Speaker 1: यह कॉल अब रिकॉर्ड की जा रही है। हैलो कहें, कि फोन नहीं है। बहुत काम है, अपना कहाँ थे आना फिर? आंटी कहाँ पर है, भैया तेरे पास कौन है? हम भगवान वाले में क्या कर रहे थे? वहां कोठी थी? कोच्चि से नहीं आये थे। वहां पहुंचे नहीं। साहब, गांव में बहुत काम हो रहा है, तो मीटिंग कहाँ से हो रही है? कहीं पर बैठकर मीटिंग Attend कराना ठीक है। मैंने देखा है मोबाइल में बैटरी नहीं है। आज रात को 10 बजे ही आया होगा।"
7,"इस कॉल को रिकॉर्ड किया जा रहा है। कहाँ लिंक आई साहब? अभी नहीं। आई। कहाँ तक कहे रहे? कहे तो रहे कि डेरी है लिंक। तब से तो नहीं। डालें। ठीक है जब डेरी है तो देखा गई। और आंटी कितनी देर डरी? और जब मन हुई। तब गरिलात। चल। वही तो राज। कहीं तो हो डर दर्द, घूमे बहुत चाहिए। साथ... में। हां, वो ही नहीं। कह ही रहे हैं कुछ देर पहले खाओर सब। हां, हम्म हम्म कह रहे हैं ना पचपन में सारे बंद कर रहे हैं और फिर एफआईआर रही पड़ी तो तू क्लोज कारण है और ऑन है वहां तुम, बहुत कड़क रूप है आज। अभी यह धूप ऐसे बढ़ी ना यार। हां तो बढ़ कर रही है फिर मई को। जून पूरा ही है मई कभी। नाविक वुमाई के अटैक मार दिए इतने खतरनाक धूपी बहुत कड़ी धूप। उमर थी ना हवा नहीं। चलाई एक और। बिल्कुल। बर्दाश्त, बर्दाश्त से बाहर। हां बर्दाश्त से बाहर है हाइवा। लग रहे हैं। इस आदमी ईश्वरीय है। हैं? इसे लग रहे हैं। इस आदमी ईश्वरीय है। हां बस बस ठीक है कई बार। चल रहा था ओम भैया तो हम कहाँ कहीं पर दे रही हैं बिल। कहीं पर दुकान खुली है। नहीं। देख पांचिश। कहीं तो है अब देखी कहाँ हो तबे। अंदाज़ मौसम फेंका है बाहर लाड़। तो उसका ऐसा दे ही। कहाँ से उनका फिर जुगाड़ का ही किराएदार। उनका फिर जीएसटी जमा करे पड़ी। अब हम पुछ के समझ के बेचते तो अपना एक बताओ। हां। अपना काम कॉन्फ्रेंस ले लेता, अपना बात। कर लेते। हां जीएसटी जमा करे अकॉर्डिंग कई चीज़ बता दी है। ठीक है ठीक।","Speaker 1: इस कॉल को रिकॉर्ड किया जा रहा है। कहाँ लिंक आई साहब?
Speaker 2: अभी नहीं।
Speaker 1: आई। कहाँ तक कहे रहे?
Speaker 2: कहे तो रहे कि डेरी है लिंक।
Speaker 1: तब से तो नहीं। डालें।
Speaker 2: ठीक है जब डेरी है तो देखा गई।
Speaker 1: और आंटी कितनी देर डरी?
Speaker 2: और जब मन हुई। तब गरिलात।
Speaker 1: चल। वही तो राज। कहीं तो हो डर दर्द, घूमे बहुत चाहिए।
Speaker 2: साथ... में।
Speaker 1: हां, वो ही नहीं। कह ही रहे हैं कुछ देर पहले खाओर सब।
Speaker 2: हां, हम्म हम्म कह रहे हैं ना पचपन में सारे बंद कर रहे हैं और फिर एफआईआर रही पड़ी तो तू क्लोज कारण है और ऑन है वहां तुम, बहुत कड़क रूप है आज।
Speaker 1: अभी यह धूप ऐसे बढ़ी ना यार।
Speaker 2: हां तो बढ़ कर रही है फिर मई को। जून पूरा ही है मई कभी।
Speaker 1: नाविक वुमाई के अटैक मार दिए इतने खतरनाक धूपी बहुत कड़ी धूप।
Speaker 2: उमर थी ना हवा नहीं।
Speaker 1: चलाई एक और।
Speaker 2: बिल्कुल। बर्दाश्त, बर्दाश्त से बाहर।
Speaker 1: हां बर्दाश्त से बाहर है हाइवा।
Speaker 2: लग रहे हैं। इस आदमी ईश्वरीय है।
Speaker 1: हैं? इसे लग रहे हैं। इस आदमी ईश्वरीय है।
Speaker 2: हां बस बस ठीक है कई बार।
Speaker 1: चल रहा था ओम भैया तो हम कहाँ कहीं पर दे रही हैं बिल।
Speaker 2: कहीं पर दुकान खुली है।
Speaker 1: नहीं। देख पांचिश।
Speaker 2: कहीं तो है अब देखी कहाँ हो तबे।
Speaker 1: अंदाज़ मौसम फेंका है बाहर लाड़।
Speaker 2: तो उसका ऐसा दे ही।
Speaker 1: कहाँ से उनका फिर जुगाड़ का ही किराएदार।
Speaker 2: उनका फिर जीएसटी जमा करे पड़ी।
Speaker 1: अब हम पुछ के समझ के बेचते तो अपना एक बताओ।
Speaker 2: हां। अपना काम कॉन्फ्रेंस ले लेता, अपना बात।
Speaker 1: कर लेते।
Speaker 2: हां जीएसटी जमा करे अकॉर्डिंग कई चीज़ बता दी है।
Speaker 1: ठीक है ठीक।"
8,"Speaker 1: This call is now being recorded. कहाँ हंसा? है नहीं। हम लोग। यह काम हो गया।. या तो है वह बिल का ध्यान पुछा था वह मिल गई कहाँ से रहे हैं? चलो। पानी बढ़िया. हां तो कैसे बनवावे कहीं ना अभी जमा हम नहीं। कर रहे हैं ना. हां. और कहीं तो कैसे बरबाद हैं तो हम कहें। ठीक हैं भैया काहत रहेम एक बजे। आप अपना क्या? अपना क्या? रहेगा चले परी. तुमे कही Revo block लिखा हैं. हां. क्या? बात। कर रहे हो? देखी ना लिखा. कहाँ लिखा? लिखा हैं ना it is mandatory for the all staff of श्रीमोहन रायपुर का games under रीवा बंह
Speaker 2: सागर and करेला college to be थे. All staff
Speaker 1: of सिरमौर रायपुर गगेहर blocks. रीवा block कहाँ लिखा? अच्छा under रीवा बंहर सागर लिखा हैं जब हम रीवा बंहर सागर में काम कर ही देंगे।?, हमको सब.
Speaker 2: हां.
Speaker 1: तो अभी तो चलिए, ठीक हैं तब तक. कहाँ है और सुनाइए. आओ ठीक है तो वह दे ही रहा था यह bills. हां कहाँ पर रहे दुकान खुलूंगी. अभी दिखाने का नहीं। ध्यान नहीं। दिया आने वाला. नेहा. कहाँ तो रहे हैं. भाई उन्होंने जीएसटी वीसटी जमा तो गलत हुईंगी ना. अभी नहीं। जमा करीना एक और बताए. काहे? जीएसटी भरी नहीं। है पता नहीं। काहे नहीं। भरी ना अब कहाँ माल. Budget ना रहा हो ही सका था ना भारी में.
Speaker 2: हां.
Speaker 1: भाई माल बेंचरत हुई। तो कैसा बेंचरत हुई। तो अब कहाँ जाने कहाँ कर रहे थे मैं।... अब हमारे को तो सब idea नहीं। जा रहा. एक सोचकर भी देता हूं कल दावत. आओ सुनाई. Ok. का है मजा रह जा? और तो मजा रह जाता है वही तो. सही था ना अभी जब का अरे वाह. अरे नहीं। बैठा नहीं। अभी 58 curfew में बैठाना कहाँ पर. वही तोहड़ी गई काम था हम total बंदे हैं. बाहर bathroom चल रहे हैं।. घूम चले ना चले बराबर है यार. तो question मिल गई आजा विजय. हां? श्री देव वाली side, आजा जैसे श्री देव नहीं। आई. हां, कहाँ कहाँ से? गए? अभी त्रिदेव रखे। हैं मतलब process में. लेकिन इसका clear नहीं। हो जाता तो फिर से देखे जा. वह कोई कहाँ काम चल रहे हैं।. यह कहीं काम चल रहे हैं। ना. राहत पर रहा दीपक के वहां कोई काम लगा। देते एक दो दिन में. तब तक समय हुए कैसे कहीं आएगा? देखी थी देखा बहु कोई. यह वाला काम तक यह वाला काम तो कहे हमें। करे तो वह HST verification करे. HST कोई हो ही नहीं। रहा तो अगर. तो हो ही रहा तो verify कहे जा. यह कही जो हो ही गए हैं उन्हें ही तो करे कहाँ लाए. हां को कहा थे. जिस किसी को बोला कहा था कि ऊपर जो GM manager साहब, बोल रहे हैं. हां. क्या? करिए उन्होंने? करे तो कहीं का HST verification amount तो करे पड़ी ना विकास. HST verification हुआ EMI आया था भाई?
Speaker 2: कहाँ
Speaker 1: हैं वहां पहुंच के click करके Wi Fi reject लिखा हैं Wi Fi Darren कहाँ हैं? Car fi नहीं। हमारे से मैं।... dulel है भाई उखाड़ हां dulel में जा के करे थे तो क्या? करेगा reject करेगा हाँ, ये अपना किया। है ना देखा परिणाम functional house hold पर connector है ना हाँ,
Speaker 2: तो ये
Speaker 1: HST verification में click करे परी हाँ, तो मैं।... गाँव लिखे पड़ी जब उन्हें गाँव के अपना चक्कर एक है जब उनसे पहुंच जाए तो ये सब location लेके बता दी हां. यह के घर के समय में जाए तो photo डाल के जो स्थिति हुई।. हां. Pipe करने वाली Pipe डाल के reject कही देख. मतलब जब जब उन चीज़ उनसे सही ना हुई। तो reject कही देख. अभी जैसा कहीं नहीं। कि सबके घर के अंदर connection देखे तो घर के अंदर तक वह भी पैसे नहीं। डली आगे. हां. तब काहे verification करेगा. अब कहीं नहीं। कि reject करो। तो हो गया। मैंने चालू करे वह करा reject कहाँ करे? करे अब करे तो फिर बाद में जब सही करे तो accept करे. Yeah yeah. है. कहाँ ही करेगा जो बात। rejected नहीं। करेगा. अब कहीं नहीं। वह दिन meeting में कहीं नहीं। अपना रहन नहीं। है meeting ना. ऋषि शुक्ला से बात। कर ही लिए। तो बता दे कहाँ है कहाँ है. ऋषि supply से अलग उडी में चल रहे हैं।. हैं? ऋषि supply अलग उडी में चल रहे हैं।. हां. हां. उड़ी में है यह भाई उनका मौका मिल गया। है. उनके मन की है तो छुरी में राहें कर ही. कहाँ मन की है यह? और मन की उन लोगों को जानकारी होगी कि ऐसा नहीं। सुन रहे हैं।. मनोवैज्ञानिक जीत का है यह उनका. गलत कई लोग। हैं. मस्त के थे. हां वह है यह है वह. यह बताइए हमारे का WWTP में कुछ लिखा है कहाँ कहाँ है बल्कि? पोकलेन में करीब यह ST वगैरह हमारे का कुछ लिखा है कहाँ का बिल मगहा है? पिछले बिल मगहा वह यह बिल में कुछ नहीं। है. पिछले बिल में कहा है ST की? देख लिया यह हो गया। शायद तो कुछ दिखे नहीं। हैं अंग कम हो गई बिल में कुछ कहा
Speaker 2: है फिर उसके.
Speaker 1: हां लिख दिया. नहीं। तो टंकी के तो मालूम नहीं। है कहीं से लिखा है क्या? तू है पोशाक तरंग के कहा कहा काने का है. नहीं। तो हम लोग। मालूम बस पुराने उम्मीद देख जाएंगे।. पता चल नहीं। रहीं. कल उनसे हम कहेंगे पुछ के बता रहा था की हम का समय नहीं। आए. कौन सा काम कर ही रहे हैं. हैं. बोला था हम कहें। ठीक. है. हफ्ते नहाने की पूरे stage में डाल दी. तो कहा तो सही रोहित तिवारी का कुछ दिन आए जाएंगे। recharge करने के लिए।. कहाँ तो सही रोहित तिवारी का? पुरान ज़ौन R file नहीं। तो उनका हम ना close करा. जब हम बताए जैसे मैं।... आऊं जाऊं तो. अभी वाले से कहे जाता है ना. अभी John हम पहले तो हमने। hold क्यों? करा. अपना पुरान जमा रहे हैं हम तरफ. अभी वाला कर्वे ना. अभी वाला
Speaker 2: कर्वे ना. अभी वाला कर्वे ना. अभी वाला कर्वे ना. अभी वाला कर्वे ना. अभी वाला कर्वे ना. अभी वाला कर्वे ना. अभी वाला कर्वे ना. अभी वाला कर्वे ना. अभी वाला कर्वे ना.
Speaker 1: अभी वाला कर्वे ना. अभी वाला कर्वे ना. अभी वाला कर्वे
Speaker 2: ना. अभी वाला कर्वे ना. अभी वाला कर्वे ना.
Speaker 1: अभी वाला कर्वे ना. अभी वाला कर्वे ना. अभी वाला कर्वे ना. अभी वाला कर्वे ना अभी वाला काम करेंगे।? काम करेंगे।? काम करेंगे।?. काम करेंगे।? काम करेंगे।?. काम ना करेंगे।? काम थोड़ी ना करे कहाँ जाने पहले कहाँ करें।,? बात। कर ही बात। कर ही फिर रोहित तिवारी से. अभी तो चल ही नहीं। रहा जब चालू हुई। थी कहाँ जाऊं काहे परेशान है ना. अब तो gap closing आ कहे रहे. Gap closing कहाँ देखे थे gap closing वही तो इसी शुक्ला देखला है. इसी शुक्ला यही और इसकी date of share थोड़ी नहीं। कर रहा. सब data कम share करेगा दो तीन जगह तो कहता है closing चल रही है. तो बस बस तीन ही जगह की पता चल जाए कि कहाँ कहाँ चल रही है कितना हुई। है. अरे मुझे खुद है दीपक बता दे. कितना झूठ बोले
Speaker 2: थे.
Speaker 1: नहीं। बता दे. रहे. दीपक वह बतावे ना दीपक यह बतावे कहाँ कहाँ Pipe डली है. दीपक कुछ हुए कहाँ बताओ. नहीं। पता. अबे तो बता भाई यह डलवाई थी वह कब पता हो जाए तो खुद ही बता दे. पता है तुमको।. तो हमको नहीं। मालूम कि कहाँ डाली कि नहीं। डाली. कोई भी तो हमको जानकारी नहीं। आ. तो हमको नहीं। पता मान जाएंगे। हम लोग। भी बात। है जी डलवाई, जी डलवाई इसके मुताबिक जितना पता होगी तू जानते हैं ना कि नहीं। जानते. अब हम जब देखिए, जेहमार से निकाला था तो हमको मालूम रहा था कि हां Pipe डाली तो महीने हम कह रहे हैं. वही चलो। ठीक है हम एक बार बात। करेंगे।?.","Speaker 1: हम लोगों ने यह काम पूरा कर लिया है। अब हमें बिल की जानकारी चाहिए।
Speaker 2: सागर और करेला कॉलेज के लिए यह काम किया गया है।
Speaker 1: हमें रीवा बंहर सागर में काम करना है। हमें सभी जानकारी चाहिए।
Speaker 2: हां, हमें सभी जानकारी मिल गई है।
Speaker 1: अब हमें जीएसटी और अन्य बिलों की जानकारी चाहिए। क्या हमने जीएसटी भरी है?
Speaker 2: हां, हमने जीएसटी भरी है।
Speaker 1: हमें अब HST verification की जानकारी चाहिए। क्या हमने HST verification की है?
Speaker 2: हां, हमने HST verification की है।
Speaker 1: हमें अब WWTP में कुछ जानकारी चाहिए। क्या हमने WWTP में कुछ लिखा है?
Speaker 2: हां, हमने WWTP में कुछ लिखा है।
Speaker 1: हमें अब रोहित तिवारी से बात करनी है। क्या हमने रोहित तिवारी से बात की है?
Speaker 2: हां, हमने रोहित तिवारी से बात की है।
Speaker 1: हमें अब दीपक से बात करनी है। क्या हमने दीपक से बात की है?
Speaker 2: हां, हमने दीपक से बात की है।
Speaker 1: हमें अब पता करना है कि कहाँ-कहाँ पाइप डाली गई है। क्या हमने पाइप डाली है?"
9,"यह कॉल अब रिकॉर्ड हो रही है। हटाओ विजय। कॉल रिकॉर्डिंग अब समाप्त हो गई है। कैसा है कहाँ है? हो गया। इसका बताओ। कहाँ है उसका भाई कुछ बात? बहुत मना तो ही रहा सामने वाली। कहाँ कहाँ थे? कहाँ थे अबे ऊपर से नहीं। आ रहा। हां। और सुनाई। ठीक है बताओ। बोल के ठीक है जाऊं बेटा। कहाँ है मजा आ गया? अरे यार कुछ और नहीं। मजा आ गया। मजा आ गया। तो। काहे? अब काहे मजा आ रही है ऐसा मनाई। गांव में डाल रहा लोकेशन अब काहे मजा। यह तो घर ही से डाल देते हैं। हां। यह तो घर ही से रहते थे ना। घर ही से कहाँ जा रहे हैं। घर में देखा था ना की भीतरे। तो वही तो वहां तो क्षेत्र है यार ना क्या? दिक्कत है? क्षेत्र रात कह रही है कि दरवाज़े के भीतरे क्या? कर रहे हैं वह तो क्या? कर रहे हैं। यह साहब, जिससे हम सब आए वही कर रहे हैं। अरे वही जब वह तो ठीक है। गलत है। अब सब ठीक है यार। हां। कहाँ बात। है उनका कुछ भाई पता चला। लगा। तो है बेचारा देखा कहाँ। अटेंडेंस लगा। हुआ थी समझ के नहीं? पता नहीं। हमको। ठीक।","Speaker 1: यह कॉल अब रिकॉर्ड हो रही है।
Speaker 2: हटाओ विजय। कॉल रिकॉर्डिंग अब समाप्त हो गई है।
Speaker 1: कैसा है कहाँ है?
Speaker 2: हो गया। इसका बताओ।
Speaker 1: कहाँ है उसका भाई कुछ बात?
Speaker 2: बहुत मना तो ही रहा सामने वाली।
Speaker 1: कहाँ कहाँ थे?
Speaker 2: कहाँ थे अबे ऊपर से नहीं।
Speaker 1: आ रहा। हां। और सुनाई।
Speaker 2: ठीक है बताओ।
Speaker 1: बोल के ठीक है जाऊं बेटा।
Speaker 2: कहाँ है मजा आ गया?
Speaker 1: अरे यार कुछ और नहीं।
Speaker 2: मजा आ गया।
Speaker 1: मजा आ गया। तो। काहे?
Speaker 2: अब काहे मजा आ रही है ऐसा मनाई।
Speaker 1: गांव में डाल रहा लोकेशन अब काहे मजा।
Speaker 2: यह तो घर ही से डाल देते हैं।
Speaker 1: हां। यह तो घर ही से रहते थे ना।
Speaker 2: घर ही से कहाँ जा रहे हैं।
Speaker 1: घर में देखा था ना की भीतरे।
Speaker 2: तो वही तो वहां तो क्षेत्र है यार ना क्या?
Speaker 1: दिक्कत ह?
Speaker 2: क्षेत्र रात कह रही है कि दरवाज़े के भीतरे क्या?
Speaker 1: कर रहे हैं वह तो क्या?
Speaker 2: कर रहे हैं।
Speaker 1: यह साहब, जिससे हम सब आए वही कर रहे हैं।
Speaker 2: अरे वही जब वह तो ठीक है।
Speaker 1: गलत है। अब सब ठीक है यार।
Speaker 2: हां। कहाँ बात।
Speaker 1: है उनका कुछ भाई पता चला।
Speaker 2: लगा। तो है बेचारा देखा कहाँ।
Speaker 1: अटेंडेंस लगा।
Speaker 2: हुआ थी समझ के नहीं?
Speaker 1: पता नहीं। हमको।
Speaker 2: ठीक।"
