id,domain,heard,correct,notes
1,re,tu bech ke,2BHK,migrated_from_domain_dictionary
2,Architecture,o t yes ka shaft,OTS का शाफ़्ट,migrated_from_domain_dictionary
3,General,ca meltline me,CM Helpline में,migrated_from_domain_dictionary
4,Masonry,bal kitne inch ki,वॉल (Wall) कितने इंच की,migrated_from_domain_dictionary
5,Material,bees gori bhejwa dijiye,बीस बोरी भिजवा दीजिये,migrated_from_domain_dictionary
6,Plumbing,sink ka sayfon,सिंक का साइफन,migrated_from_domain_dictionary
7,Electrical,mcg box gir gaya,MCB बॉक्स गिर गया,migrated_from_domain_dictionary
8,Electrical,konsil light,कंसील लाइट,migrated_from_domain_dictionary
9,Electrical,baayring ka kaam,वायरिंग का काम,migrated_from_domain_dictionary
10,Plumbing,pvc ka paip,PVC का पाइप,migrated_from_domain_dictionary
11,Electrical,shoket me current,सॉकेट में करंट,migrated_from_domain_dictionary
12,Rental,kidaaye par dena hai,किराये पर देना है,migrated_from_domain_dictionary
13,Rental,dipojit amount,डिपॉज़िट अमाउंट,migrated_from_domain_dictionary
14,Rental,agrimant banwa lo,एग्रीमेंट बनवा लो,migrated_from_domain_dictionary
15,Material,ret ka dumper,रेत का डंपर,migrated_from_domain_dictionary
16,Construction,chhat ki dhalayi,छत की ढलाई,migrated_from_domain_dictionary
17,Masonry,palastar kab hoga,प्लास्टर कब होगा,migrated_from_domain_dictionary
18,Architecture,tuh b a ka naksha,2BHK का नक्शा,migrated_from_domain_dictionary
19,Masonry,tyles lagani hai,टाइल्स लगानी है,migrated_from_domain_dictionary
20,Plumbing,watar tanki full,वाटर टंकी फुल,migrated_from_domain_dictionary
21,Plumbing,samar sebal pump,समर्सिबल पंप,migrated_from_domain_dictionary
22,Construction,shuttering khulwa do,शटरिंग खुलवा दो,migrated_from_domain_dictionary
23,Construction,bheem ki rod,बीम की रॉड,migrated_from_domain_dictionary
24,Material,sariya mangwa lo,सरिया मंगवा लो,migrated_from_domain_dictionary
25,Plumbing,plumbhar ko bulao,प्लंबर को बुलाओ,migrated_from_domain_dictionary
26,Interior,jipsam board,जिप्सम बोर्ड,migrated_from_domain_dictionary
27,Interior,fal siling,फॉल सीलिंग,migrated_from_domain_dictionary
28,Painting,pu t karwa do,पुट्टी करवा दो,migrated_from_domain_dictionary
29,Painting,praymar bacha hai,प्राइमर बचा है,migrated_from_domain_dictionary
30,Painting,tar pis ka tel,तारपीन का तेल,migrated_from_domain_dictionary
31,Carpentry,kabjey dhile hai,कब्ज़े ढीले हैं,migrated_from_domain_dictionary
32,Carpentry,sanmayka lagao,सनमाइका लगाओ,migrated_from_domain_dictionary
33,Carpentry,flas dor,फ्लश डोर,migrated_from_domain_dictionary
34,Carpentry,bataam thuk gai,बॉटम ठुक गई,migrated_from_domain_dictionary
35,Electrical,main suvich,मेन स्विच,migrated_from_domain_dictionary
36,Electrical,arthik ka taar,अर्थिंग का तार,migrated_from_domain_dictionary
37,Electrical,thri face mitar,थ्री-फेज़ मीटर,migrated_from_domain_dictionary
38,Rental,stodent rent,स्टूडेंट रेंट,migrated_from_domain_dictionary
39,re,brokeraj kitni,ब्रोकरेज कितनी,migrated_from_domain_dictionary
40,Rental,bijli bill alag,बिजली बिल अलग,migrated_from_domain_dictionary
41,Masonry,skriting baki,स्कर्टिंग बाकी,migrated_from_domain_dictionary
42,Masonry,grout barna hai,ग्राउट भरना है,migrated_from_domain_dictionary
43,General,silan aa rhi,सीलन आ रही,migrated_from_domain_dictionary
44,General,watar pruffing,वाटरप्रूफिंग,migrated_from_domain_dictionary
45,Carpentry,karanter aa gya,कारपेंटर आ गया,migrated_from_domain_dictionary
46,Material,sment kam hai,सीमेंट कम है,migrated_from_domain_dictionary
47,Material,gitti dalwao,गिट्टी डलवाओ,migrated_from_domain_dictionary
48,Masonry,int ki judayi,ईंट की जुड़ाई,migrated_from_domain_dictionary
49,Fabrication,khidki ki greel,खिड़की की ग्रिल,migrated_from_domain_dictionary
50,Fabrication,relig lagani hai,रेलिंग लगानी है,migrated_from_domain_dictionary
51,Labor,thekedar ko paise diye,ठेकेदार को पैसे दिए,migrated_from_domain_dictionary
52,Labor,aaj lebara nahi aayi,आज लेबर नहीं आई,migrated_from_domain_dictionary
53,Labor,hajiri kitni hui,हाज़िरी कितनी हुई,migrated_from_domain_dictionary
54,Labor,munshi ji kaha hai,मुंशी जी कहाँ हैं,migrated_from_domain_dictionary
55,Labor,dihaadi badh gayi,दिहाड़ी बढ़ गई,migrated_from_domain_dictionary
56,Labor,mistry ki chhutti,मिस्त्री की छुट्टी,migrated_from_domain_dictionary
57,Excavation,jcb bula lo,JCB बुला लो,migrated_from_domain_dictionary
58,Excavation,faundashan ka gadda,फाउंडेशन का गड्ढा,migrated_from_domain_dictionary
59,Construction,kursee level tak,कुर्सी लेवल तक,migrated_from_domain_dictionary
60,Construction,d p c dalna hai,DPC डालना है,migrated_from_domain_dictionary
61,Construction,colam khade kar do,कॉलम खड़े कर दो,migrated_from_domain_dictionary
62,Construction,ring banwa lo,रिंग बनवा लो,migrated_from_domain_dictionary
63,Construction,shutarng ka patra,शटरिंग का पतरा,migrated_from_domain_dictionary
64,Construction,vibratar chala dena,वाइब्रेटर चला देना,migrated_from_domain_dictionary
65,Construction,kyoring karni hai,क्योरिंग करनी है,migrated_from_domain_dictionary
66,Construction,tarai chal rhi,तराई चल रही,migrated_from_domain_dictionary
67,Rental,ek bhk ka rent,1BHK का रेंट,migrated_from_domain_dictionary
68,Rental,to let ka board,To-Let का बोर्ड,migrated_from_domain_dictionary
69,re,bayaana de diya,बयाना दे दिया,migrated_from_domain_dictionary
70,re,registary kab hai,रजिस्ट्री कब है,migrated_from_domain_dictionary
71,re,kharij dakhil,खारिज दाखिल,migrated_from_domain_dictionary
72,Legal,notary karwa li,नोटरी करवा ली,migrated_from_domain_dictionary
73,Architecture,front alivashan,फ्रंट एलिवेशन,migrated_from_domain_dictionary
74,Architecture,mumty par tanki,ममटी पर टंकी,migrated_from_domain_dictionary
75,Architecture,chhajja nikalna hai,छज्जा निकालना है,migrated_from_domain_dictionary
76,Architecture,prapet wall,पैरापेट वॉल,migrated_from_domain_dictionary
77,Architecture,vastu ke hisaab,वास्तु के हिसाब,migrated_from_domain_dictionary
78,Electrical,jhirri katni hai,झिर्री काटनी है,migrated_from_domain_dictionary
79,Electrical,cangil boks,कंसील बॉक्स,migrated_from_domain_dictionary
80,Electrical,fan boks dal do,फैन बॉक्स डाल दो,migrated_from_domain_dictionary
81,Electrical,modular bord,मॉड्यूलर बोर्ड,migrated_from_domain_dictionary
82,Electrical,mcb tip ho gai,MCB ट्रिप हो गई,migrated_from_domain_dictionary
83,Electrical,inwetar ki wiring,इन्वर्टर की वायरिंग,migrated_from_domain_dictionary
84,Electrical,policab ka taar,पॉलीकैब का तार,migrated_from_domain_dictionary
85,Plumbing,c pvc pipe,CPVC पाइप,migrated_from_domain_dictionary
86,Plumbing,u pvc pipe,UPVC पाइप,migrated_from_domain_dictionary
87,Plumbing,nani trap lagao,नाहनी ट्रैप लगाओ,migrated_from_domain_dictionary
88,Plumbing,p trap chahiye,P-ट्रैप चाहिए,migrated_from_domain_dictionary
89,Plumbing,wall hang kamod,वॉल हंग कमोड,migrated_from_domain_dictionary
90,Plumbing,divrtar fit kar do,डायवर्टर फिट कर दो,migrated_from_domain_dictionary
91,Plumbing,sintax ki tanki,सिंटेक्स की टंकी,migrated_from_domain_dictionary
92,Plumbing,gizar ka point,गीज़र का पॉइंट,migrated_from_domain_dictionary
93,Painting,regmal se ghisai,रेगमाल से घिसाई,migrated_from_domain_dictionary
94,Painting,lapi bhar do,लापी भर दो,migrated_from_domain_dictionary
95,Painting,distampar karna hai,डिस्टेंपर करना है,migrated_from_domain_dictionary
96,Painting,wedar kot bahar,वेदर कोट बाहर,migrated_from_domain_dictionary
97,Painting,enamal paint,इनेमल पेंट,migrated_from_domain_dictionary
98,Painting,tarpin oil,तारपीन ऑइल,migrated_from_domain_dictionary
99,Carpentry,chokhat jam karni,चौखट जाम करनी,migrated_from_domain_dictionary
100,Carpentry,sal ki lakdi,साल की लकड़ी,migrated_from_domain_dictionary
101,Carpentry,sagwan ka patla,सागवान का पल्ला,migrated_from_domain_dictionary
102,Carpentry,ply board,प्लाई बोर्ड,migrated_from_domain_dictionary
103,Carpentry,fawikal dabba,फेविकोल डब्बा,migrated_from_domain_dictionary
104,Carpentry,maika chipkao,माइका चिपकाओ,migrated_from_domain_dictionary
105,Carpentry,heding dalo,हिंजेस डालो,migrated_from_domain_dictionary
106,Carpentry,aldrop lagani,एल्ड्रॉप लगानी,migrated_from_domain_dictionary
107,Interior,pop ki siling,POP की सीलिंग,migrated_from_domain_dictionary
108,Interior,cornish design,कॉर्निस डिज़ाइन,migrated_from_domain_dictionary
109,Construction,santing lagani,सेंटरिंग लगानी,migrated_from_domain_dictionary
110,Construction,basment me paani,बेसमेंट में पानी,migrated_from_domain_dictionary
111,Construction,poda bacha hai,पौड़ी बची है,migrated_from_domain_dictionary
112,Architecture,tred aur raijar,ट्रेड और राइज़र,migrated_from_domain_dictionary
113,Construction,lental level,लिंटेल लेवल,migrated_from_domain_dictionary
114,Architecture,sunshade nikala,सनशेड निकाला,migrated_from_domain_dictionary
115,Labor,dhalaai ka rate,ढलाई का रेट,migrated_from_domain_dictionary
116,Labor,naapi karni hai,नापी करनी है,migrated_from_domain_dictionary
117,Contract,sq fut me,स्क्वायर फुट में,migrated_from_domain_dictionary
118,Contract,lamsam dena hai,लम्पसम देना है,migrated_from_domain_dictionary
119,Architecture,retor fit,रेट्रोफिट,migrated_from_domain_dictionary
120,Construction,demolisan kamo,डेमोलिशन काम,migrated_from_domain_dictionary
121,Construction,malba uthwao,मलबा उठवाओ,migrated_from_domain_dictionary
122,Logistics,tactor trolley,ट्रैक्टर ट्रॉली,migrated_from_domain_dictionary
123,Layout,chuna markng,चूना मार्किंग,migrated_from_domain_dictionary
124,Layout,guniya mila lo,गुनिया मिला लो,migrated_from_domain_dictionary
125,Masonry,sut baandh ke,सूत बांध के,migrated_from_domain_dictionary
126,Masonry,saahul me check,साहुल में चेक,migrated_from_domain_dictionary
127,Masonry,water leval,वाटर लेवल,migrated_from_domain_dictionary
128,Masonry,dhal kitni,ढाल कितनी,migrated_from_domain_dictionary
129,Masonry,skritng lagao,स्कर्टिंग लगाओ,migrated_from_domain_dictionary
130,Masonry,poxy bharni,इपॉक्सी भरनी,migrated_from_domain_dictionary
131,Masonry,vitrifyad tiles,विट्रीफाइड टाइल्स,migrated_from_domain_dictionary
132,Masonry,granaite patthar,ग्रेनाइट पत्थर,migrated_from_domain_dictionary
133,Masonry,choukhat bnegi,चौखट बनेगी,migrated_from_domain_dictionary
134,Interior,pantry cupbord,पेंट्री कपबोर्ड,migrated_from_domain_dictionary
135,Kitchen,chimani ka houl,चिमनी का होल,migrated_from_domain_dictionary
136,Kitchen,moduler kichen,मॉड्यूलर किचन,migrated_from_domain_dictionary
137,Carpentry,tandam boks,टैंडम बॉक्स,migrated_from_domain_dictionary
138,Carpentry,tele sfkop chanel,टेलीस्कोपिक चैनल,migrated_from_domain_dictionary
139,Carpentry,profil hanle,प्रोफाइल हैंडल,migrated_from_domain_dictionary
140,Carpentry,sof close kabje,सॉफ्ट क्लोज कब्ज़े,migrated_from_domain_dictionary
141,Electrical,gujar gae,गुज़र गए,migrated_from_domain_dictionary
142,Electrical,fijibal pib,फ्लेक्सिबल पाइप,migrated_from_domain_dictionary
143,Electrical,sarkit gira,सर्किट गिरा,migrated_from_domain_dictionary
144,Electrical,a r c b lagao,RCCB लगाओ,migrated_from_domain_dictionary
145,Electrical,m c c b board,MCCB बोर्ड,migrated_from_domain_dictionary
146,Management,rojana karcha,रोज़ाना खर्चा,migrated_from_domain_dictionary
147,Management,advance pement,एडवांस पेमेंट,migrated_from_domain_dictionary
148,Management,bill cleyar,बिल क्लियर,migrated_from_domain_dictionary
149,Management,comarsyal kam,कमर्शियल काम,migrated_from_domain_dictionary
150,Rental,stadents pg,स्टूडेंट्स PG,migrated_from_domain_dictionary
151,Rental,par bad kraya,पर बेड किराया,migrated_from_domain_dictionary
152,Electrical/IT,wifi ka rutr,WiFi का राउटर,migrated_from_domain_dictionary
153,Security,c c camera,CCTV कैमरा,migrated_from_domain_dictionary
154,Architecture,lift ka saphat,लिफ्ट का शाफ़्ट,migrated_from_domain_dictionary
155,Commercial,bording pass,होर्डिंग पास,migrated_from_domain_dictionary
156,Legal,fire noc,फायर NOC,migrated_from_domain_dictionary
157,Legal,nam nagar nigm,नगर निगम,migrated_from_domain_dictionary
158,Legal,map pass,मैप पास,migrated_from_domain_dictionary
159,re,j zameen,नज़ूल ज़मीन,migrated_from_domain_dictionary
160,re,patwari report,पटवारी रिपोर्ट,migrated_from_domain_dictionary
161,re,khsra khtoni,खसरा खतौनी,migrated_from_domain_dictionary
162,Construction,boundary baal,बाउंड्री वॉल,migrated_from_domain_dictionary
163,Architecture,gaar gaj,गार्ड रूम,migrated_from_domain_dictionary
164,Masonry,parkng tails,पार्किंग टाइल्स,migrated_from_domain_dictionary
165,Plumbing,sub marsible bore,सबमर्सिबल बोर,migrated_from_domain_dictionary
166,Construction,cavar bloq,कवर ब्लॉक,migrated_from_domain_dictionary
167,Security,tar bandi,तार बंदी,migrated_from_domain_dictionary
168,Rental,godaoun rent,गोदाम रेंट,migrated_from_domain_dictionary
169,Fabrication,shatar lagana,शटर लगाना,migrated_from_domain_dictionary
170,Fabrication,kanal gate,चैनल गेट,migrated_from_domain_dictionary
171,Painting,apoksy paint,इपॉक्सी पेंट,migrated_from_domain_dictionary
172,General,dampnes aari,डैम्पनेस आ रही,migrated_from_domain_dictionary
173,Masonry,c crack,श्रिंकेज क्रैक,migrated_from_domain_dictionary
174,Logistics,bhaari vahan,भारी वाहन,migrated_from_domain_dictionary
175,Logistics,no antar,नो एंट्री,migrated_from_domain_dictionary
176,Material,retroy rate,रेती का रेट,migrated_from_domain_dictionary
177,Material,krashar dust,क्रेशर डस्ट,migrated_from_domain_dictionary
178,Material,aac bilok,AAC ब्लॉक,migrated_from_domain_dictionary
179,Material,light wet,लाइट वेट,migrated_from_domain_dictionary
180,Management,thekedaar badal,ठेकेदार बदल,migrated_from_domain_dictionary
181,Contract,pnalty lagegi,पेनल्टी लगेगी,migrated_from_domain_dictionary
182,Contract,secourty dpst,सिक्योरिटी डिपाजिट,migrated_from_domain_dictionary
183,Legal,complesan cerfit,कम्प्लीशन सर्टिफिकेट,migrated_from_domain_dictionary
184,Rental,lock in peyriod,लॉक-इन पीरियड,migrated_from_domain_dictionary
185,Rental,notece peyriod,नोटिस पीरियड,migrated_from_domain_dictionary
186,Architecture,paint huse,पेंटहाउस,migrated_from_domain_dictionary
187,Architecture,open terrus,ओपन टेरेस,migrated_from_domain_dictionary
188,Architecture,pragola design,परगोला डिज़ाइन,migrated_from_domain_dictionary
189,Electrical,lantarn light,लालटेन लाइट,migrated_from_domain_dictionary
190,Architecture,lendskep,लैंडस्केपिंग,migrated_from_domain_dictionary
191,Plumbing,bor wotar khrab,बोर वाटर खराब,migrated_from_domain_dictionary
192,Plumbing,wotar sofnar,वाटर सॉफ्टनर,migrated_from_domain_dictionary
193,Plumbing,preshar pump,प्रेशर पंप,migrated_from_domain_dictionary
194,Electrical,pannel boks,पैनल बॉक्स,migrated_from_domain_dictionary
195,Electrical,arth peet,अर्थ पिट,migrated_from_domain_dictionary
196,Electrical,lightng arster,लाइटनिंग अरेस्टर,migrated_from_domain_dictionary
197,Electrical,solar pnal,सोलर पैनल,migrated_from_domain_dictionary
198,Electrical,net mitring,नेट मीटरिंग,migrated_from_domain_dictionary
199,Security,vdo dor phone,वीडियो डोर फोन,migrated_from_domain_dictionary
200,Management,hand ovar kab,हैंड ओवर कब,migrated_from_domain_dictionary
201,Electrical,em c b,MCB,migrated_from_domain_dictionary
202,Electrical,aar c b,RCCB,migrated_from_domain_dictionary
203,Electrical,fes nahi aa rha,फेज़ नहीं आ रहा,migrated_from_domain_dictionary
204,Electrical,nutal cut gya,न्यूट्रल कट गया,migrated_from_domain_dictionary
205,Electrical,aarting wire,अर्थिंग वायर,migrated_from_domain_dictionary
206,Electrical,inwatar connection,इन्वर्टर कनेक्शन,migrated_from_domain_dictionary
207,Electrical,shoket lagana,सॉकेट लगाना,migrated_from_domain_dictionary
208,Electrical,plg kharab,प्लग खराब,migrated_from_domain_dictionary
209,Electrical,modalar switch,मॉड्यूलर स्विच,migrated_from_domain_dictionary
210,Electrical,jhirri nikalna,झिर्री निकालना,migrated_from_domain_dictionary
211,Electrical,kansil pipe,कंसील पाइप,migrated_from_domain_dictionary
212,Electrical,flekzibal paip,फ्लेक्सिबल पाइप,migrated_from_domain_dictionary
213,Electrical,tar kichna,तार खींचना,migrated_from_domain_dictionary
214,Electrical,finolex cable,फिनोलेक्स केबल,migrated_from_domain_dictionary
215,Electrical,poly cab taar,पॉलीकैब तार,migrated_from_domain_dictionary
216,Electrical,chang over,चेंजओवर,migrated_from_domain_dictionary
217,Electrical,sub mitar,सबमीटर,migrated_from_domain_dictionary
218,Electrical,load badh gya,लोड बढ़ गया,migrated_from_domain_dictionary
219,Electrical,shart sirkut,शॉर्ट सर्किट,migrated_from_domain_dictionary
220,Electrical,luping taar,लूपिंग तार,migrated_from_domain_dictionary
221,Electrical,fan boks,फैन बॉक्स,migrated_from_domain_dictionary
222,Electrical,d b boks,DB बॉक्स,migrated_from_domain_dictionary
223,Electrical,ampere check,एम्पियर चेक,migrated_from_domain_dictionary
224,Electrical,multy miter,मल्टीमीटर,migrated_from_domain_dictionary
225,Electrical,tape marna,टेप मारना,migrated_from_domain_dictionary
226,Electrical,konsil light,कंसील लाइट,migrated_from_domain_dictionary
227,Electrical,cob light,कूब लाइट (COB),migrated_from_domain_dictionary
228,Electrical,stripe light,स्ट्रिप लाइट,migrated_from_domain_dictionary
229,Electrical,chouk kharab,चोक खराब,migrated_from_domain_dictionary
230,Electrical,thri fes line,थ्री फेज़ लाइन,migrated_from_domain_dictionary
231,Electrical,main suvich,मेन स्विच,migrated_from_domain_dictionary
232,Electrical,bijli kategi,बिजली कटेगी,migrated_from_domain_dictionary
233,Electrical,genretar chalu,जनरेटर चालू,migrated_from_domain_dictionary
234,Electrical,ups lagana,UPS लगाना,migrated_from_domain_dictionary
235,Electrical,teli fone taar,टेलीफोन तार,migrated_from_domain_dictionary
236,Electrical,lan cable cat six,LAN केबल Cat6,migrated_from_domain_dictionary
237,Electrical,wifi routar,WiFi राउटर,migrated_from_domain_dictionary
238,Electrical,kamera kebal,कैमरा केबल,migrated_from_domain_dictionary
239,Electrical,d v r kahan,DVR कहाँ,migrated_from_domain_dictionary
240,Electrical,arthiing pit,अर्थिंग पिट,migrated_from_domain_dictionary
241,Electrical,tar chilna,तार छीलना,migrated_from_domain_dictionary
242,Electrical,gland marna,ग्लैंड मारना,migrated_from_domain_dictionary
243,Electrical,kabel tre,केबल ट्रे,migrated_from_domain_dictionary
244,Electrical,sarsik bkar,सर्किट ब्रेकर,migrated_from_domain_dictionary
245,Electrical,voltej kam,वोल्टेज कम,migrated_from_domain_dictionary
246,Electrical,steblaizar,स्टेबलाइजर,migrated_from_domain_dictionary
247,Electrical,conector patti,कनेक्टर पट्टी,migrated_from_domain_dictionary
248,Electrical,pvc tap,PVC टेप,migrated_from_domain_dictionary
249,Electrical,roj ki hajri,रोज़ की हाज़िरी,migrated_from_domain_dictionary
250,Electrical,theka wiring,ठेका वायरिंग,migrated_from_domain_dictionary
251,Construction,chat ki dhalai,छत की ढलाई,migrated_from_domain_dictionary
252,Construction,shatring kholi,शटरिंग खोली,migrated_from_domain_dictionary
253,Construction,sment kam,सीमेंट कम,migrated_from_domain_dictionary
254,Construction,altratech sment,अल्ट्राटेक सीमेंट,migrated_from_domain_dictionary
255,Construction,reti channi,रेती छननी,migrated_from_domain_dictionary
256,Construction,ginti dalo,गिट्टी डालो,migrated_from_domain_dictionary
257,Construction,masala bnao,मसाला बनाओ,migrated_from_domain_dictionary
258,Construction,vabretar chalao,वाइब्रेटर चलाओ,migrated_from_domain_dictionary
259,Construction,koring kab,क्योरिंग कब,migrated_from_domain_dictionary
260,Construction,tarai kardo,तराई कर दो,migrated_from_domain_dictionary
261,Construction,sariya bandho,सरिया बांधो,migrated_from_domain_dictionary
262,Construction,aath mm rod,8mm रॉड,migrated_from_domain_dictionary
263,Construction,bara mm sariya,12mm सरिया,migrated_from_domain_dictionary
264,Construction,bandng wire,बाइंडिंग वायर,migrated_from_domain_dictionary
265,Construction,kavar bhlok,कवर ब्लॉक,migrated_from_domain_dictionary
266,Construction,colam farma,कॉलम फर्मा,migrated_from_domain_dictionary
267,Construction,saul me check,साहुल में चेक,migrated_from_domain_dictionary
268,Construction,guniya milao,गुनिया मिलाओ,migrated_from_domain_dictionary
269,Construction,water laval,वाटर लेवल,migrated_from_domain_dictionary
270,Construction,dpc dalna,DPC डालना,migrated_from_domain_dictionary
271,Construction,lintal ka casting,लिंटेल की ढलाई,migrated_from_domain_dictionary
